ISIN Code,Company Name,Industry,Symbol,Series
INE466L01038,360 ONE WAM Ltd.,Financial Services,360ONE,EQ
INE470A01017,3M India Ltd.,Diversified,3MINDIA,EQ
INE117A01022,ABB India Ltd.,Capital Goods,ABB,EQ
INE012A01025,ACC Ltd.,Construction Materials,ACC,EQ
INE622W01025,ACME Solar Holdings Ltd.,Power,ACMESOLAR,EQ
INE212H01026,AIA Engineering Ltd.,Capital Goods,AIAENG,EQ
INE702C01027,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ
INE949L01017,AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ
INE699H01024,AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL,EQ
INE883F01010,Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ
INE769A01020,Aarti Industries Ltd.,Chemicals,AARTIIND,EQ
INE216P01012,Aavas Financiers Ltd.,Financial Services,AAVAS,EQ
INE358A01014,Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ
INE731H01025,Action Construction Equipment Ltd.,Capital Goods,ACE,EQ
INE931S01010,Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ
INE423A01024,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ
INE364U01010,Adani Green Energy Ltd.,Power,ADANIGREEN,EQ
INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ
INE814H01029,Adani Power Ltd.,Power,ADANIPOWER,EQ
INE399L01023,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ
INE674K01013,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ
INE647O01011,Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ
INE14LE01019,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,EQ
INE055A01016,Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ
INE404A01024,Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ
INE208C01025,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ
INE0INX01018,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,AEGISVOPAK,EQ
INE101I01011,Afcons Infrastructure Ltd.,Construction,AFCONS,EQ
INE00WC01027,Affle 3i Ltd.,Information Technology,AFFLE,EQ
INE031B01049,Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ
INE09XN01023,Akums Drugs and Pharmaceuticals Ltd.,Healthcare,AKUMS,EQ
INE133A01011,Akzo Nobel India Ltd.,Consumer Durables,AKZOINDIA,EQ
INE901L01018,Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ
INE540L01014,Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ
INE150B01039,Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ
INE270A01029,Alok Industries Ltd.,Textiles,ALOKINDS,EQ
INE885A01032,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ
INE371P01015,Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ
INE079A01024,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ
INE463V01026,Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ
INE242C01024,Anant Raj Ltd.,Realty,ANANTRAJ,EQ
INE732I01013,Angel One Ltd.,Financial Services,ANGELONE,EQ
INE372A01015,Apar Industries Ltd.,Capital Goods,APARINDS,EQ
INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ
INE438A01022,Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ
INE852O01025,Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ
INE439A01020,Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ
INE208A01029,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ
INE021A01026,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ
INE914M01019,Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ
INE203A01020,AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ
INE006I01046,Astral Ltd.,Capital Goods,ASTRAL,EQ
INE0LEZ01016,Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG,EQ
INE100A01010,Atul Ltd.,Chemicals,ATUL,EQ
INE406A01037,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ
INE206F01022,Authum Investment & Infrastructure Ltd.,Financial Services,AIIL,EQ
INE192R01011,Avenue Supermarts Ltd.,Consumer Services,DMART,EQ
INE238A01034,Axis Bank Ltd.,Financial Services,AXISBANK,EQ
INE373A01013,BASF India Ltd.,Chemicals,BASF,EQ
INE258A01024,BEML Ltd.,Capital Goods,BEML,EQ
INE153T01027,BLS International Services Ltd.,Consumer Services,BLS,EQ
INE118H01025,BSE Ltd.,Financial Services,BSE,EQ
INE917I01010,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ
INE296A01032,Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ
INE918I01026,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ
INE118A01012,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ
INE377Y01014,Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ
INE787D01026,Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ
INE119A01028,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ
INE545U01014,Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ
INE028A01039,Bank of Baroda,Financial Services,BANKBARODA,EQ
INE084A01016,Bank of India,Financial Services,BANKINDIA,EQ
INE457A01014,Bank of Maharashtra,Financial Services,MAHABANK,EQ
INE176A01028,Bata India Ltd.,Consumer Durables,BATAINDIA,EQ
INE462A01022,Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ
INE463A01038,Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ
INE171Z01026,Bharat Dynamics Ltd.,Capital Goods,BDL,EQ
INE263A01024,Bharat Electronics Ltd.,Capital Goods,BEL,EQ
INE465A01025,Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ
INE257A01026,Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ
INE029A01011,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ
INE397D01024,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ
INE343G01021,Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ
INE00E101023,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,EQ
INE376G01013,Biocon Ltd.,Healthcare,BIOCON,EQ
INE836A01035,Birlasoft Ltd.,Information Technology,BSOFT,EQ
INE233B01017,Blue Dart Express Ltd.,Services,BLUEDART,EQ
INE0KBH01020,Blue Jet Healthcare Ltd.,Healthcare,BLUEJET,EQ
INE472A01039,Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ
INE050A01025,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ
INE323A01026,Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ
INE02RE01045,Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ
INE791I01019,Brigade Enterprises Ltd.,Realty,BRIGADE,EQ
INE216A01030,Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ
INE0BV301023,C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ
INE421D01022,CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ
INE486A01021,CESC Ltd.,Power,CESC,EQ
INE067A01029,CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ
INE007A01025,CRISIL Ltd.,Financial Services,CRISIL,EQ
INE278Y01022,Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ
INE477A01020,Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ
INE476A01022,Canara Bank,Financial Services,CANBK,EQ
INE475E01026,Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ
INE180C01042,Capri Global Capital Ltd.,Financial Services,CGCL,EQ
INE120A01034,Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ
INE172A01027,Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ
INE482A01020,Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ
INE483A01010,Central Bank of India,Financial Services,CENTRALBK,EQ
INE736A01011,Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ
INE348B01021,Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,EQ
INE739E01017,Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ
INE427F01016,Chalet Hotels Ltd.,Consumer Services,CHALET,EQ
INE085A01013,Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ
INE178A01016,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,EQ
INE102B01014,Choice International Ltd.,Financial Services,CHOICEIN,EQ
INE149A01033,Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ
INE121A01024,Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ
INE059A01026,Cipla Ltd.,Healthcare,CIPLA,EQ
INE491A01021,City Union Bank Ltd.,Financial Services,CUB,EQ
INE227W01023,Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ
INE522F01014,Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ
INE704P01025,Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ
INE591G01025,Coforge Ltd.,Information Technology,COFORGE,EQ
INE03QK01018,Cohance Lifesciences Ltd.,Healthcare,COHANCE,EQ
INE259A01022,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ
INE596I01020,Computer Age Management Services Ltd.,Financial Services,CAMS,EQ
INE338H01029,Concord Biotech Ltd.,Healthcare,CONCORDBIO,EQ
INE111A01025,Container Corporation of India Ltd.,Services,CONCOR,EQ
INE169A01031,Coromandel International Ltd.,Chemicals,COROMANDEL,EQ
INE00LO01017,Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,EQ
INE741K01010,CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ
INE299U01018,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ
INE298A01020,Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ
INE136B01020,Cyient Ltd.,Information Technology,CYIENT,EQ
INE499A01024,DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ
INE271C01023,DLF Ltd.,Realty,DLF,EQ
INE321T01012,DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS,EQ
INE016A01026,Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ
INE00R701025,Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ
INE0IX101010,Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ
INE501A01019,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ
INE288B01029,Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ
INE148O01028,Delhivery Ltd.,Services,DELHIVERY,EQ
INE872J01023,Devyani International Ltd.,Consumer Services,DEVYANI,EQ
INE361B01024,Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ
INE935N01020,Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ
INE943P01029,Dr. Agarwal's Health Care Ltd.,Healthcare,AGARWALEYE,EQ
INE600L01024,Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ
INE089A01031,Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ
DUM030A01027,Dummy Hindustan Unilever Ltd.,Fast Moving Consumer Goods,DUMMYHDLVR,EQ
INE126A01031,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY,EQ
INE230A01023,EIH Ltd.,Consumer Services,EIHOTEL,EQ
INE066A01021,Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ
INE205B01031,Elecon Engineering Co. Ltd.,Capital Goods,ELECON,EQ
INE285A01027,Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ
INE548C01032,Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ
INE168P01015,Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE,EQ
INE913H01037,Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ
INE510A01028,Engineers India Ltd.,Construction,ENGINERSIN,EQ
INE406M01024,Eris Lifesciences Ltd.,Healthcare,ERIS,EQ
INE042A01014,Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ
INE758T01015,Eternal Ltd.,Consumer Services,ETERNAL,EQ
INE302A01020,Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ
INE388Y01029,FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ
INE171A01029,Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ
INE188A01015,Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ
INE235A01022,Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ
INE183A01024,Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ
INE684F01012,Firstsource Solutions Ltd.,Services,FSL,EQ
INE128S01021,Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ
INE451A01017,Force Motors Ltd.,Automobile and Auto Components,FORCEMOT,EQ
INE061F01013,Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ
INE129A01019,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ
INE200A01026,GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ
INE776C01039,GMR Airports Ltd.,Services,GMRAIRPORT,EQ
INE382Z01011,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ
INE481Y01014,General Insurance Corporation of India,Financial Services,GICRE,EQ
INE322A01010,Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ
INE068V01023,Gland Pharma Ltd.,Healthcare,GLAND,EQ
INE159A01016,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ
INE935A01035,Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ
INE474Q01031,Global Health Ltd.,Healthcare,MEDANTA,EQ
INE03JT01014,Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ
INE177H01039,Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ
INE260B01028,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ
INE850D01014,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,EQ
INE102D01028,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ
INE233A01035,Godrej Industries Ltd.,Diversified,GODREJIND,EQ
INE484J01027,Godrej Properties Ltd.,Realty,GODREJPROP,EQ
INE101D01020,Granules India Ltd.,Healthcare,GRANULES,EQ
INE371A01025,Graphite India Ltd.,Capital Goods,GRAPHITE,EQ
INE047A01021,Grasim Industries Ltd.,Construction Materials,GRASIM,EQ
INE024L01027,Gravita India Ltd.,Metals & Mining,GRAVITA,EQ
INE017A01032,Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ
INE09N301011,Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ
INE844O01030,Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ
INE131A01031,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ
INE246F01010,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ
INE545A01024,H.E.G. Ltd.,Capital Goods,HEG,EQ
INE292B01021,HBL Engineering Ltd.,Capital Goods,HBLENGINE,EQ
INE860A01027,HCL Technologies Ltd.,Information Technology,HCLTECH,EQ
INE127D01025,HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ
INE040A01034,HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ
INE795G01014,HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ
INE548A01028,HFCL Ltd.,Telecommunication,HFCL,EQ
INE419U01012,Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,EQ
INE176B01034,Havells India Ltd.,Consumer Durables,HAVELLS,EQ
INE158A01026,Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ
INE093A01041,Hexaware Technologies Ltd.,Information Technology,HEXT,EQ
INE019C01026,Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ
INE038A01020,Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ
INE066F01020,Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ
INE531E01026,Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ
INE094A01015,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ
